Donor,Ratios,Cytokine_Treatments,Time,CD121a,CD178,G-CSF,GM-CSF,Granzyme B,IFNg,IL-10,IL-1A,IL-1B,IL-2,IL-4,IL-5,IL-6,IL-7,IL-8,IP-10,MIG,MIP-1A,TNF
Donor_1,1.1,None,1.0,0.0002766743402204377,0.0003748715388778988,0.00031884154410233577,0.00036138765738476074,0.0001440766527160089,5.5138484647284916e-05,9.920042067134245e-05,8.100672347974149e-05,0.00025308772471348956,0.00020818244457069512,5.2613500845166494e-05,3.680390564499598e-05,0.0001833488019265867,0.00028167801271341175,0.0003401446748652736,0.00028439501335463506,0.00011116893645923411,7.768644455287918e-05,0.00022768010759249157
Donor_1,1.1,None,3.0,0.0005927796101231491,0.0006516937927826371,0.00031884154410233577,0.00036138765738476074,0.000450749224075228,5.5138484647284916e-05,0.00010105103092675738,0.0009751589768535247,0.0009459590214089376,0.00020818244457069512,0.00024340932997213034,3.680390564499598e-05,0.004933964977784529,0.00028167801271341175,0.19447982818106047,0.00028439501335463506,0.00011579302153516742,0.003904317120378076,0.0030509687186916776
Donor_1,1.1,None,6.0,0.0010727184439188893,0.000497007363763812,0.00031884154410233577,0.00036138765738476074,0.0002910685395485324,5.5138484647284916e-05,0.00014408644850070001,0.0008283894237771437,0.0017992851625426775,0.00020818244457069512,5.2613500845166494e-05,3.680390564499598e-05,0.007037832384217043,0.00028167801271341175,0.35382858434339526,0.00028439501335463506,0.00011116893645923411,0.004784538368017571,0.0025200324824740574
Donor_1,1.1,None,12.0,0.0004786909727701684,0.0003748715388778988,0.00031884154410233577,0.00036138765738476074,0.0002522825711044974,5.5138484647284916e-05,0.00023653444572605903,0.0011478188930375433,0.003086183983342168,0.00020818244457069512,5.2613500845166494e-05,3.680390564499598e-05,0.012154013845367498,0.00028167801271341175,1.2687527676429229,0.0012870962240245575,0.00011116893645923411,0.006582899908706894,0.0037871399694589677
Donor_1,1.1,None,18.0,0.0002902757220102204,0.0004113034117075585,0.00031884154410233577,0.00036138765738476074,0.0002926724347510717,5.5138484647284916e-05,0.00014800765560461998,0.0011309513147120171,0.002723535244005078,0.00020818244457069512,9.847171070516118e-05,3.680390564499598e-05,0.010833821965874218,0.00028167801271341175,1.0709010407945687,0.0018394829522036355,0.00011116893645923411,0.005097704576730596,0.004585356415744858
Donor_1,1.1,None,24.0,0.0007110033323622365,0.0003748715388778988,0.00031884154410233577,0.00036138765738476074,0.0001440766527160089,5.5138484647284916e-05,0.0002325893870712934,0.0013510187385808233,0.0028457371009398104,0.00020818244457069512,5.2613500845166494e-05,3.680390564499598e-05,0.012529882248462926,0.00028167801271341175,1.2687527676429229,0.002119983502221775,0.00011116893645923411,0.005139187355211138,0.007834384158963212
Donor_1,1.1,None,30.0,0.0005615968049055066,0.0003748715388778988,0.0006361623840910093,0.00036138765738476074,0.00029587748005156463,5.5138484647284916e-05,9.920042067134245e-05,0.0013869655751257476,0.003464130373578251,0.00020818244457069512,5.2613500845166494e-05,3.680390564499598e-05,0.010433688456095162,0.00028167801271341175,1.2687527676429229,0.0015869111387879968,0.00011116893645923411,0.004211045289892988,0.007853779354869566
Donor_1,1.1,None,36.0,0.00015770165467053534,0.0010868496913065356,0.00031884154410233577,0.00036138765738476074,0.0005146839127872853,5.5138484647284916e-05,9.920042067134245e-05,0.0011452895327767184,0.0024477997014518784,0.00020818244457069512,0.00016198353453749712,3.680390564499598e-05,0.006646372130575195,0.00028167801271341175,1.2687527676429229,0.0011035070758791414,0.00011116893645923411,0.002211012762199546,0.004569857802372538
Donor_1,1.1,None,42.0,0.00015770165467053534,0.0003748715388778988,0.00031884154410233577,0.00036138765738476074,0.0001440766527160089,5.5138484647284916e-05,9.920042067134245e-05,8.100672347974149e-05,0.00025308772471348956,0.00020818244457069512,5.2613500845166494e-05,3.680390564499598e-05,0.0001833488019265867,0.00028167801271341175,0.004371919193018841,0.00028439501335463506,0.00011116893645923411,2.9565765260676424e-05,0.00022768010759249157
Donor_1,1.1,None,48.0,0.0006726840064619411,0.0003748715388778988,0.0003260182157656953,0.00036138765738476074,0.004398600817590604,5.5138484647284916e-05,9.920042067134245e-05,0.002291490067171686,0.003944646832657652,0.00020818244457069512,8.624294587728874e-05,3.680390564499598e-05,0.013896629548536609,0.00028167801271341175,1.2687527676429229,0.0027662800651165314,0.00011116893645923411,0.0024409493763449465,0.00676595301798607
